INF_ID,COL_ENG_NM,COL_KOR_NM,COL_EXP
OA-16250,END_INDEX,요청종료위치,정수입력
OA-20424,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-20424,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-20424,SERVICE,서비스명,fcltOpenInfo_SI
OA-20424,START_INDEX,요청시작위치,정수입력
OA-20424,END_INDEX,요청종료위치,정수입력
OA-16101,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-16101,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-16101,SERVICE,서비스명,LOCALDATA_082605
OA-16101,START_INDEX,요청시작위치,정수입력
OA-16101,END_INDEX,요청종료위치,정수입력
OA-19585,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-19585,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-19585,SERVICE,서비스명,LOCALDATA_103101_GB
OA-19585,START_INDEX,요청시작위치,정수입력
OA-19585,END_INDEX,요청종료위치,정수입력
OA-19846,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-19846,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-19846,SERVICE,서비스명,LOCALDATA_104101_DJ
OA-19846,START_INDEX,요청시작위치,정수입력
OA-19846,END_INDEX,요청종료위치,정수입력
OA-19686,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-19686,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-19686,SERVICE,서비스명,LOCALDATA_103302_DB
OA-19686,START_INDEX,요청시작위치,정수입력
OA-19686,END_INDEX,요청종료위치,정수입력
OA-16568,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-16568,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-16568,SERVICE,서비스명,LOCALDATA_020304_YS
OA-16568,START_INDEX,요청시작위치,정수입력
OA-16568,END_INDEX,요청종료위치,정수입력
OA-18225,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-18225,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-18225,SERVICE,서비스명,LOCALDATA_072209_SP
OA-18225,START_INDEX,요청시작위치,정수입력
OA-18225,END_INDEX,요청종료위치,정수입력
OA-10416,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-10416,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-10416,SERVICE,서비스명,YdpPublicHygieneBizCleaningProducts
OA-10416,START_INDEX,요청시작위치,정수입력
OA-10416,END_INDEX,요청종료위치,정수입력
OA-19452,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-19452,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-19452,SERVICE,서비스명,LOCALDATA_093013_JN
OA-19452,START_INDEX,요청시작위치,정수입력
OA-19452,END_INDEX,요청종료위치,정수입력
OA-19765,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-19765,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-19765,SERVICE,서비스명,LOCALDATA_103701_MP
OA-19765,START_INDEX,요청시작위치,정수입력
OA-19765,END_INDEX,요청종료위치,정수입력
OA-19769,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-19769,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-19769,SERVICE,서비스명,LOCALDATA_103701_GC
OA-19769,START_INDEX,요청시작위치,정수입력
OA-19769,END_INDEX,요청종료위치,정수입력
